Features, Accuracy
[1],70.0
[2],68.9
[3],68.2
[4],67.6
[5],70.5
[6],69.4
[7],68.0
[8],69.2
[9],70.1
[10],73.1
[11],65.0
[12],67.9
[13],69.5
[14],69.5
[15],70.8
[16],69.0
[17],69.5
[18],72.0
[19],68.8
[20],68.1
[21],76.5
[22],67.2
[23],67.5
[24],67.3
[25],68.7
[26],69.1
[27],67.6
[28],68.0
[29],65.1
[30],68.9
[31],68.0
[32],67.9
[33],67.4
[34],71.4
[35],71.3
[36],67.6
[37],68.8
[38],67.6
[39],68.7
[40],68.7
[41],68.3
[42],68.1
[43],68.0
[44],69.1
[45],83.5
[46],67.4
[47],68.5
[48],69.3
[49],68.0
[50],68.2
[ 1 45],82.6
[ 2 45],83.7
[ 3 45],81.9
[ 4 45],84.0
[ 5 45],82.0
[ 6 45],84.2
[ 7 45],83.8
[ 8 45],81.7
[ 9 45],82.3
[10 45],84.1
[11 45],84.7
[12 45],83.1
[13 45],82.3
[14 45],83.2
[15 45],82.7
[16 45],82.4
[17 45],84.7
[18 45],83.9
[19 45],82.6
[20 45],84.2
[21 45],97.0
[22 45],83.2
[23 45],83.5
[24 45],82.1
[25 45],81.7
[26 45],83.1
[27 45],84.3
[28 45],83.3
[29 45],84.9
[30 45],82.3
[31 45],82.3
[32 45],84.1
[33 45],85.0
[34 45],84.6
[35 45],82.1
[36 45],82.8
[37 45],83.7
[38 45],83.1
[39 45],83.9
[40 45],83.9
[41 45],84.0
[42 45],82.2
[43 45],82.8
[44 45],84.7
[45 46],82.2
[45 47],83.1
[45 48],82.8
[45 49],81.6
[45 50],83.0
[ 1 21 45],94.2
[ 2 21 45],93.9
[ 3 21 45],93.8
[ 4 21 45],94.3
[ 5 21 45],93.4
[ 6 21 45],94.0
[ 7 21 45],94.2
[ 8 21 45],94.3
[ 9 21 45],93.3
[10 21 45],94.5
[11 21 45],93.2
[12 21 45],93.8
[13 21 45],93.9
[14 21 45],94.3
[15 21 45],94.0
[16 21 45],94.0
[17 21 45],92.9
[18 21 45],93.5
[19 21 45],94.1
[20 21 45],95.8
[21 22 45],94.3
[21 23 45],93.8
[21 24 45],92.3
[21 25 45],93.4
[21 26 45],94.3
[21 27 45],94.0
[21 28 45],93.3
[21 29 45],93.2
[21 30 45],94.5
[21 31 45],95.5
[21 32 45],93.7
[21 33 45],94.1
[21 34 45],94.3
[21 35 45],93.4
[21 36 45],94.2
[21 37 45],94.5
[21 38 45],93.0
[21 39 45],93.1
[21 40 45],93.5
[21 41 45],94.6
[21 42 45],92.7
[21 43 45],94.0
[21 44 45],93.3
[21 45 46],93.6
[21 45 47],94.8
[21 45 48],93.0
[21 45 49],94.3
[21 45 50],94.8
[ 1 20 21 45],91.1
[ 2 20 21 45],92.0
[ 3 20 21 45],91.8
[ 4 20 21 45],91.6
[ 5 20 21 45],89.2
[ 6 20 21 45],90.9
[ 7 20 21 45],91.9
[ 8 20 21 45],92.2
[ 9 20 21 45],92.6
[10 20 21 45],91.6
[11 20 21 45],91.0
[12 20 21 45],90.0
[13 20 21 45],90.0
[14 20 21 45],90.1
[15 20 21 45],91.2
[16 20 21 45],92.0
[17 20 21 45],91.5
[18 20 21 45],90.3
[19 20 21 45],91.0
[20 21 22 45],90.7
[20 21 23 45],91.9
[20 21 24 45],89.5
[20 21 25 45],91.8
[20 21 26 45],90.7
[20 21 27 45],90.8
[20 21 28 45],91.0
[20 21 29 45],91.1
[20 21 30 45],90.6
[20 21 31 45],91.5
[20 21 32 45],91.1
[20 21 33 45],92.5
[20 21 34 45],91.8
[20 21 35 45],89.2
[20 21 36 45],91.2
[20 21 37 45],92.5
[20 21 38 45],91.7
[20 21 39 45],92.1
[20 21 40 45],92.1
[20 21 41 45],92.8
[20 21 42 45],91.5
[20 21 43 45],92.5
[20 21 44 45],92.3
[20 21 45 46],92.0
[20 21 45 47],89.1
[20 21 45 48],91.9
[20 21 45 49],90.7
[20 21 45 50],91.1
[ 1 20 21 41 45],87.8
[ 2 20 21 41 45],87.4
[ 3 20 21 41 45],87.5
[ 4 20 21 41 45],87.3
[ 5 20 21 41 45],87.7
[ 6 20 21 41 45],88.2
[ 7 20 21 41 45],84.7
[ 8 20 21 41 45],88.2
[ 9 20 21 41 45],87.7
[10 20 21 41 45],87.2
[11 20 21 41 45],86.8
[12 20 21 41 45],85.0
[13 20 21 41 45],87.8
[14 20 21 41 45],87.6
[15 20 21 41 45],87.7
[16 20 21 41 45],87.7
[17 20 21 41 45],87.6
[18 20 21 41 45],88.1
[19 20 21 41 45],88.4
[20 21 22 41 45],86.3
[20 21 23 41 45],88.0
[20 21 24 41 45],86.2
[20 21 25 41 45],88.2
[20 21 26 41 45],86.1
[20 21 27 41 45],87.1
[20 21 28 41 45],87.2
[20 21 29 41 45],87.8
[20 21 30 41 45],87.9
[20 21 31 41 45],87.9
[20 21 32 41 45],87.4
[20 21 33 41 45],88.2
[20 21 34 41 45],88.4
[20 21 35 41 45],85.6
[20 21 36 41 45],87.2
[20 21 37 41 45],88.4
[20 21 38 41 45],86.7
[20 21 39 41 45],87.1
[20 21 40 41 45],88.1
[20 21 41 42 45],88.3
[20 21 41 43 45],87.5
[20 21 41 44 45],88.3
[20 21 41 45 46],88.7
[20 21 41 45 47],87.0
[20 21 41 45 48],87.4
[20 21 41 45 49],87.7
[20 21 41 45 50],87.7
[ 1 20 21 41 45 46],83.6
[ 2 20 21 41 45 46],84.5
[ 3 20 21 41 45 46],85.2
[ 4 20 21 41 45 46],84.6
[ 5 20 21 41 45 46],84.5
[ 6 20 21 41 45 46],84.7
[ 7 20 21 41 45 46],83.6
[ 8 20 21 41 45 46],83.3
[ 9 20 21 41 45 46],84.3
[10 20 21 41 45 46],87.1
[11 20 21 41 45 46],84.8
[12 20 21 41 45 46],83.8
[13 20 21 41 45 46],84.9
[14 20 21 41 45 46],83.8
[15 20 21 41 45 46],84.5
[16 20 21 41 45 46],84.8
[17 20 21 41 45 46],85.2
[18 20 21 41 45 46],83.6
[19 20 21 41 45 46],85.5
[20 21 22 41 45 46],84.1
[20 21 23 41 45 46],85.4
[20 21 24 41 45 46],84.4
[20 21 25 41 45 46],85.1
[20 21 26 41 45 46],83.6
[20 21 27 41 45 46],83.4
[20 21 28 41 45 46],84.5
[20 21 29 41 45 46],84.7
[20 21 30 41 45 46],84.2
[20 21 31 41 45 46],86.2
[20 21 32 41 45 46],83.4
[20 21 33 41 45 46],86.2
[20 21 34 41 45 46],86.2
[20 21 35 41 45 46],83.4
[20 21 36 41 45 46],84.4
[20 21 37 41 45 46],83.9
[20 21 38 41 45 46],83.5
[20 21 39 41 45 46],84.1
[20 21 40 41 45 46],85.1
[20 21 41 42 45 46],85.0
[20 21 41 43 45 46],84.8
[20 21 41 44 45 46],85.9
[20 21 41 45 46 47],82.7
[20 21 41 45 46 48],83.6
[20 21 41 45 46 49],85.5
[20 21 41 45 46 50],83.8
[ 1 10 20 21 41 45 46],81.7
[ 2 10 20 21 41 45 46],83.1
[ 3 10 20 21 41 45 46],82.1
[ 4 10 20 21 41 45 46],81.0
[ 5 10 20 21 41 45 46],81.0
[ 6 10 20 21 41 45 46],84.8
[ 7 10 20 21 41 45 46],82.0
[ 8 10 20 21 41 45 46],82.4
[ 9 10 20 21 41 45 46],83.3
[10 11 20 21 41 45 46],84.1
[10 12 20 21 41 45 46],82.5
[10 13 20 21 41 45 46],82.8
[10 14 20 21 41 45 46],81.7
[10 15 20 21 41 45 46],82.1
[10 16 20 21 41 45 46],82.2
[10 17 20 21 41 45 46],81.4
[10 18 20 21 41 45 46],83.6
[10 19 20 21 41 45 46],82.5
[10 20 21 22 41 45 46],82.1
[10 20 21 23 41 45 46],82.1
[10 20 21 24 41 45 46],82.3
[10 20 21 25 41 45 46],82.1
[10 20 21 26 41 45 46],79.3
[10 20 21 27 41 45 46],81.4
[10 20 21 28 41 45 46],83.4
[10 20 21 29 41 45 46],85.1
[10 20 21 30 41 45 46],83.4
[10 20 21 31 41 45 46],84.2
[10 20 21 32 41 45 46],81.0
[10 20 21 33 41 45 46],84.9
[10 20 21 34 41 45 46],81.7
[10 20 21 35 41 45 46],80.7
[10 20 21 36 41 45 46],81.8
[10 20 21 37 41 45 46],81.1
[10 20 21 38 41 45 46],82.6
[10 20 21 39 41 45 46],82.7
[10 20 21 40 41 45 46],82.0
[10 20 21 41 42 45 46],83.5
[10 20 21 41 43 45 46],82.0
[10 20 21 41 44 45 46],81.8
[10 20 21 41 45 46 47],81.7
[10 20 21 41 45 46 48],82.0
[10 20 21 41 45 46 49],82.0
[10 20 21 41 45 46 50],83.3
[ 1 10 20 21 29 41 45 46],80.6
[ 2 10 20 21 29 41 45 46],79.9
[ 3 10 20 21 29 41 45 46],80.9
[ 4 10 20 21 29 41 45 46],80.8
[ 5 10 20 21 29 41 45 46],77.2
[ 6 10 20 21 29 41 45 46],80.1
[ 7 10 20 21 29 41 45 46],78.4
[ 8 10 20 21 29 41 45 46],80.3
[ 9 10 20 21 29 41 45 46],79.1
[10 11 20 21 29 41 45 46],80.1
[10 12 20 21 29 41 45 46],81.5
[10 13 20 21 29 41 45 46],81.1
[10 14 20 21 29 41 45 46],80.7
[10 15 20 21 29 41 45 46],79.1
[10 16 20 21 29 41 45 46],80.9
[10 17 20 21 29 41 45 46],78.2
[10 18 20 21 29 41 45 46],79.9
[10 19 20 21 29 41 45 46],81.2
[10 20 21 22 29 41 45 46],80.9
[10 20 21 23 29 41 45 46],81.5
[10 20 21 24 29 41 45 46],79.5
[10 20 21 25 29 41 45 46],79.5
[10 20 21 26 29 41 45 46],77.8
[10 20 21 27 29 41 45 46],80.0
[10 20 21 28 29 41 45 46],80.4
[10 20 21 29 30 41 45 46],81.1
[10 20 21 29 31 41 45 46],80.8
[10 20 21 29 32 41 45 46],78.2
[10 20 21 29 33 41 45 46],81.6
[10 20 21 29 34 41 45 46],79.8
[10 20 21 29 35 41 45 46],78.5
[10 20 21 29 36 41 45 46],79.9
[10 20 21 29 37 41 45 46],80.6
[10 20 21 29 38 41 45 46],80.4
[10 20 21 29 39 41 45 46],80.9
[10 20 21 29 40 41 45 46],78.8
[10 20 21 29 41 42 45 46],80.2
[10 20 21 29 41 43 45 46],80.5
[10 20 21 29 41 44 45 46],80.3
[10 20 21 29 41 45 46 47],79.9
[10 20 21 29 41 45 46 48],79.8
[10 20 21 29 41 45 46 49],77.6
[10 20 21 29 41 45 46 50],81.1
[ 1 10 20 21 29 33 41 45 46],80.6
[ 2 10 20 21 29 33 41 45 46],78.6
[ 3 10 20 21 29 33 41 45 46],77.9
[ 4 10 20 21 29 33 41 45 46],75.3
[ 5 10 20 21 29 33 41 45 46],75.9
[ 6 10 20 21 29 33 41 45 46],77.4
[ 7 10 20 21 29 33 41 45 46],77.1
[ 8 10 20 21 29 33 41 45 46],79.2
[ 9 10 20 21 29 33 41 45 46],77.6
[10 11 20 21 29 33 41 45 46],78.4
[10 12 20 21 29 33 41 45 46],77.1
[10 13 20 21 29 33 41 45 46],78.4
[10 14 20 21 29 33 41 45 46],78.3
[10 15 20 21 29 33 41 45 46],77.1
[10 16 20 21 29 33 41 45 46],77.3
[10 17 20 21 29 33 41 45 46],77.0
[10 18 20 21 29 33 41 45 46],80.0
[10 19 20 21 29 33 41 45 46],78.7
[10 20 21 22 29 33 41 45 46],79.5
[10 20 21 23 29 33 41 45 46],78.5
[10 20 21 24 29 33 41 45 46],76.8
[10 20 21 25 29 33 41 45 46],78.2
[10 20 21 26 29 33 41 45 46],76.5
[10 20 21 27 29 33 41 45 46],77.5
[10 20 21 28 29 33 41 45 46],77.8
[10 20 21 29 30 33 41 45 46],78.1
[10 20 21 29 31 33 41 45 46],78.8
[10 20 21 29 32 33 41 45 46],77.0
[10 20 21 29 33 34 41 45 46],76.8
[10 20 21 29 33 35 41 45 46],76.4
[10 20 21 29 33 36 41 45 46],78.5
[10 20 21 29 33 37 41 45 46],78.5
[10 20 21 29 33 38 41 45 46],78.4
[10 20 21 29 33 39 41 45 46],79.1
[10 20 21 29 33 40 41 45 46],80.1
[10 20 21 29 33 41 42 45 46],76.7
[10 20 21 29 33 41 43 45 46],78.5
[10 20 21 29 33 41 44 45 46],77.8
[10 20 21 29 33 41 45 46 47],79.3
[10 20 21 29 33 41 45 46 48],77.5
[10 20 21 29 33 41 45 46 49],76.4
[10 20 21 29 33 41 45 46 50],77.2
[ 1  2 10 20 21 29 33 41 45 46],76.8
[ 1  3 10 20 21 29 33 41 45 46],76.7
[ 1  4 10 20 21 29 33 41 45 46],74.9
[ 1  5 10 20 21 29 33 41 45 46],75.2
[ 1  6 10 20 21 29 33 41 45 46],77.7
[ 1  7 10 20 21 29 33 41 45 46],76.6
[ 1  8 10 20 21 29 33 41 45 46],78.3
[ 1  9 10 20 21 29 33 41 45 46],76.8
[ 1 10 11 20 21 29 33 41 45 46],78.1
[ 1 10 12 20 21 29 33 41 45 46],77.3
[ 1 10 13 20 21 29 33 41 45 46],78.3
[ 1 10 14 20 21 29 33 41 45 46],77.2
[ 1 10 15 20 21 29 33 41 45 46],78.5
[ 1 10 16 20 21 29 33 41 45 46],77.3
[ 1 10 17 20 21 29 33 41 45 46],76.7
[ 1 10 18 20 21 29 33 41 45 46],79.6
[ 1 10 19 20 21 29 33 41 45 46],76.6
[ 1 10 20 21 22 29 33 41 45 46],77.4
[ 1 10 20 21 23 29 33 41 45 46],76.6
[ 1 10 20 21 24 29 33 41 45 46],76.7
[ 1 10 20 21 25 29 33 41 45 46],75.5
[ 1 10 20 21 26 29 33 41 45 46],77.2
[ 1 10 20 21 27 29 33 41 45 46],76.7
[ 1 10 20 21 28 29 33 41 45 46],77.2
[ 1 10 20 21 29 30 33 41 45 46],77.8
[ 1 10 20 21 29 31 33 41 45 46],77.9
[ 1 10 20 21 29 32 33 41 45 46],76.9
[ 1 10 20 21 29 33 34 41 45 46],76.8
[ 1 10 20 21 29 33 35 41 45 46],74.9
[ 1 10 20 21 29 33 36 41 45 46],77.6
[ 1 10 20 21 29 33 37 41 45 46],78.4
[ 1 10 20 21 29 33 38 41 45 46],78.1
[ 1 10 20 21 29 33 39 41 45 46],79.6
[ 1 10 20 21 29 33 40 41 45 46],78.7
[ 1 10 20 21 29 33 41 42 45 46],75.3
[ 1 10 20 21 29 33 41 43 45 46],78.4
[ 1 10 20 21 29 33 41 44 45 46],78.2
[ 1 10 20 21 29 33 41 45 46 47],78.4
[ 1 10 20 21 29 33 41 45 46 48],77.1
[ 1 10 20 21 29 33 41 45 46 49],75.6
[ 1 10 20 21 29 33 41 45 46 50],77.6
[ 1  2 10 18 20 21 29 33 41 45 46],78.0
[ 1  3 10 18 20 21 29 33 41 45 46],74.5
[ 1  4 10 18 20 21 29 33 41 45 46],75.4
[ 1  5 10 18 20 21 29 33 41 45 46],75.3
[ 1  6 10 18 20 21 29 33 41 45 46],75.7
[ 1  7 10 18 20 21 29 33 41 45 46],75.6
[ 1  8 10 18 20 21 29 33 41 45 46],75.8
[ 1  9 10 18 20 21 29 33 41 45 46],75.0
[ 1 10 11 18 20 21 29 33 41 45 46],77.3
[ 1 10 12 18 20 21 29 33 41 45 46],76.3
[ 1 10 13 18 20 21 29 33 41 45 46],77.8
[ 1 10 14 18 20 21 29 33 41 45 46],77.4
[ 1 10 15 18 20 21 29 33 41 45 46],76.5
[ 1 10 16 18 20 21 29 33 41 45 46],76.3
[ 1 10 17 18 20 21 29 33 41 45 46],76.6
[ 1 10 18 19 20 21 29 33 41 45 46],76.2
[ 1 10 18 20 21 22 29 33 41 45 46],75.6
[ 1 10 18 20 21 23 29 33 41 45 46],75.4
[ 1 10 18 20 21 24 29 33 41 45 46],75.7
[ 1 10 18 20 21 25 29 33 41 45 46],76.1
[ 1 10 18 20 21 26 29 33 41 45 46],76.7
[ 1 10 18 20 21 27 29 33 41 45 46],77.9
[ 1 10 18 20 21 28 29 33 41 45 46],76.9
[ 1 10 18 20 21 29 30 33 41 45 46],76.1
[ 1 10 18 20 21 29 31 33 41 45 46],78.1
[ 1 10 18 20 21 29 32 33 41 45 46],73.9
[ 1 10 18 20 21 29 33 34 41 45 46],75.1
[ 1 10 18 20 21 29 33 35 41 45 46],74.9
[ 1 10 18 20 21 29 33 36 41 45 46],75.2
[ 1 10 18 20 21 29 33 37 41 45 46],76.2
[ 1 10 18 20 21 29 33 38 41 45 46],75.6
[ 1 10 18 20 21 29 33 39 41 45 46],78.2
[ 1 10 18 20 21 29 33 40 41 45 46],77.2
[ 1 10 18 20 21 29 33 41 42 45 46],76.4
[ 1 10 18 20 21 29 33 41 43 45 46],76.2
[ 1 10 18 20 21 29 33 41 44 45 46],77.0
[ 1 10 18 20 21 29 33 41 45 46 47],75.7
[ 1 10 18 20 21 29 33 41 45 46 48],76.1
[ 1 10 18 20 21 29 33 41 45 46 49],75.8
[ 1 10 18 20 21 29 33 41 45 46 50],77.6
[ 1  2 10 18 20 21 29 33 39 41 45 46],76.3
[ 1  3 10 18 20 21 29 33 39 41 45 46],73.9
[ 1  4 10 18 20 21 29 33 39 41 45 46],73.5
[ 1  5 10 18 20 21 29 33 39 41 45 46],74.5
[ 1  6 10 18 20 21 29 33 39 41 45 46],75.0
[ 1  7 10 18 20 21 29 33 39 41 45 46],75.0
[ 1  8 10 18 20 21 29 33 39 41 45 46],75.2
[ 1  9 10 18 20 21 29 33 39 41 45 46],75.1
[ 1 10 11 18 20 21 29 33 39 41 45 46],75.8
[ 1 10 12 18 20 21 29 33 39 41 45 46],72.8
[ 1 10 13 18 20 21 29 33 39 41 45 46],75.7
[ 1 10 14 18 20 21 29 33 39 41 45 46],76.4
[ 1 10 15 18 20 21 29 33 39 41 45 46],74.6
[ 1 10 16 18 20 21 29 33 39 41 45 46],76.0
[ 1 10 17 18 20 21 29 33 39 41 45 46],74.3
[ 1 10 18 19 20 21 29 33 39 41 45 46],76.0
[ 1 10 18 20 21 22 29 33 39 41 45 46],76.5
[ 1 10 18 20 21 23 29 33 39 41 45 46],74.8
[ 1 10 18 20 21 24 29 33 39 41 45 46],74.1
[ 1 10 18 20 21 25 29 33 39 41 45 46],75.7
[ 1 10 18 20 21 26 29 33 39 41 45 46],75.2
[ 1 10 18 20 21 27 29 33 39 41 45 46],75.6
[ 1 10 18 20 21 28 29 33 39 41 45 46],76.2
[ 1 10 18 20 21 29 30 33 39 41 45 46],73.2
[ 1 10 18 20 21 29 31 33 39 41 45 46],76.1
[ 1 10 18 20 21 29 32 33 39 41 45 46],73.1
[ 1 10 18 20 21 29 33 34 39 41 45 46],74.4
[ 1 10 18 20 21 29 33 35 39 41 45 46],75.2
[ 1 10 18 20 21 29 33 36 39 41 45 46],73.6
[ 1 10 18 20 21 29 33 37 39 41 45 46],75.1
[ 1 10 18 20 21 29 33 38 39 41 45 46],74.0
[ 1 10 18 20 21 29 33 39 40 41 45 46],75.8
[ 1 10 18 20 21 29 33 39 41 42 45 46],75.3
[ 1 10 18 20 21 29 33 39 41 43 45 46],73.4
[ 1 10 18 20 21 29 33 39 41 44 45 46],76.0
[ 1 10 18 20 21 29 33 39 41 45 46 47],74.8
[ 1 10 18 20 21 29 33 39 41 45 46 48],74.3
[ 1 10 18 20 21 29 33 39 41 45 46 49],74.7
[ 1 10 18 20 21 29 33 39 41 45 46 50],74.6
[ 1  2 10 18 20 21 22 29 33 39 41 45 46],75.1
[ 1  3 10 18 20 21 22 29 33 39 41 45 46],72.5
[ 1  4 10 18 20 21 22 29 33 39 41 45 46],72.9
[ 1  5 10 18 20 21 22 29 33 39 41 45 46],74.1
[ 1  6 10 18 20 21 22 29 33 39 41 45 46],73.1
[ 1  7 10 18 20 21 22 29 33 39 41 45 46],72.5
[ 1  8 10 18 20 21 22 29 33 39 41 45 46],72.8
[ 1  9 10 18 20 21 22 29 33 39 41 45 46],73.7
[ 1 10 11 18 20 21 22 29 33 39 41 45 46],74.1
[ 1 10 12 18 20 21 22 29 33 39 41 45 46],71.5
[ 1 10 13 18 20 21 22 29 33 39 41 45 46],72.8
[ 1 10 14 18 20 21 22 29 33 39 41 45 46],76.0
[ 1 10 15 18 20 21 22 29 33 39 41 45 46],73.5
[ 1 10 16 18 20 21 22 29 33 39 41 45 46],74.2
[ 1 10 17 18 20 21 22 29 33 39 41 45 46],72.3
[ 1 10 18 19 20 21 22 29 33 39 41 45 46],72.1
[ 1 10 18 20 21 22 23 29 33 39 41 45 46],73.9
[ 1 10 18 20 21 22 24 29 33 39 41 45 46],74.1
[ 1 10 18 20 21 22 25 29 33 39 41 45 46],75.4
[ 1 10 18 20 21 22 26 29 33 39 41 45 46],73.4
[ 1 10 18 20 21 22 27 29 33 39 41 45 46],74.4
[ 1 10 18 20 21 22 28 29 33 39 41 45 46],73.2
[ 1 10 18 20 21 22 29 30 33 39 41 45 46],72.0
[ 1 10 18 20 21 22 29 31 33 39 41 45 46],74.4
[ 1 10 18 20 21 22 29 32 33 39 41 45 46],71.4
[ 1 10 18 20 21 22 29 33 34 39 41 45 46],73.9
[ 1 10 18 20 21 22 29 33 35 39 41 45 46],72.7
[ 1 10 18 20 21 22 29 33 36 39 41 45 46],72.1
[ 1 10 18 20 21 22 29 33 37 39 41 45 46],74.0
[ 1 10 18 20 21 22 29 33 38 39 41 45 46],73.5
[ 1 10 18 20 21 22 29 33 39 40 41 45 46],72.2
[ 1 10 18 20 21 22 29 33 39 41 42 45 46],73.4
[ 1 10 18 20 21 22 29 33 39 41 43 45 46],72.8
[ 1 10 18 20 21 22 29 33 39 41 44 45 46],74.2
[ 1 10 18 20 21 22 29 33 39 41 45 46 47],73.2
[ 1 10 18 20 21 22 29 33 39 41 45 46 48],72.7
[ 1 10 18 20 21 22 29 33 39 41 45 46 49],72.5
[ 1 10 18 20 21 22 29 33 39 41 45 46 50],73.1
[ 1  2 10 14 18 20 21 22 29 33 39 41 45 46],74.7
[ 1  3 10 14 18 20 21 22 29 33 39 41 45 46],73.0
[ 1  4 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1  5 10 14 18 20 21 22 29 33 39 41 45 46],75.3
[ 1  6 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1  7 10 14 18 20 21 22 29 33 39 41 45 46],73.6
[ 1  8 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1  9 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1 10 11 14 18 20 21 22 29 33 39 41 45 46],75.4
[ 1 10 12 14 18 20 21 22 29 33 39 41 45 46],72.3
[ 1 10 13 14 18 20 21 22 29 33 39 41 45 46],73.9
[ 1 10 14 15 18 20 21 22 29 33 39 41 45 46],71.9
[ 1 10 14 16 18 20 21 22 29 33 39 41 45 46],75.1
[ 1 10 14 17 18 20 21 22 29 33 39 41 45 46],74.7
[ 1 10 14 18 19 20 21 22 29 33 39 41 45 46],73.7
[ 1 10 14 18 20 21 22 23 29 33 39 41 45 46],74.9
[ 1 10 14 18 20 21 22 24 29 33 39 41 45 46],74.0
[ 1 10 14 18 20 21 22 25 29 33 39 41 45 46],74.5
[ 1 10 14 18 20 21 22 26 29 33 39 41 45 46],74.0
[ 1 10 14 18 20 21 22 27 29 33 39 41 45 46],74.9
[ 1 10 14 18 20 21 22 28 29 33 39 41 45 46],72.6
[ 1 10 14 18 20 21 22 29 30 33 39 41 45 46],73.1
[ 1 10 14 18 20 21 22 29 31 33 39 41 45 46],74.7
[ 1 10 14 18 20 21 22 29 32 33 39 41 45 46],73.2
[ 1 10 14 18 20 21 22 29 33 34 39 41 45 46],72.6
[ 1 10 14 18 20 21 22 29 33 35 39 41 45 46],75.1
[ 1 10 14 18 20 21 22 29 33 36 39 41 45 46],72.2
[ 1 10 14 18 20 21 22 29 33 37 39 41 45 46],72.1
[ 1 10 14 18 20 21 22 29 33 38 39 41 45 46],74.2
[ 1 10 14 18 20 21 22 29 33 39 40 41 45 46],73.3
[ 1 10 14 18 20 21 22 29 33 39 41 42 45 46],75.0
[ 1 10 14 18 20 21 22 29 33 39 41 43 45 46],74.0
[ 1 10 14 18 20 21 22 29 33 39 41 44 45 46],75.7
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 47],75.6
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 48],71.7
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 49],74.7
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 50],74.3
[ 1  2 10 14 18 20 21 22 29 33 39 41 44 45 46],74.0
[ 1  3 10 14 18 20 21 22 29 33 39 41 44 45 46],72.3
[ 1  4 10 14 18 20 21 22 29 33 39 41 44 45 46],74.4
[ 1  5 10 14 18 20 21 22 29 33 39 41 44 45 46],74.4
[ 1  6 10 14 18 20 21 22 29 33 39 41 44 45 46],72.6
[ 1  7 10 14 18 20 21 22 29 33 39 41 44 45 46],73.1
[ 1  8 10 14 18 20 21 22 29 33 39 41 44 45 46],73.1
[ 1  9 10 14 18 20 21 22 29 33 39 41 44 45 46],72.3
[ 1 10 11 14 18 20 21 22 29 33 39 41 44 45 46],72.8
[ 1 10 12 14 18 20 21 22 29 33 39 41 44 45 46],72.0
[ 1 10 13 14 18 20 21 22 29 33 39 41 44 45 46],74.0
[ 1 10 14 15 18 20 21 22 29 33 39 41 44 45 46],72.5
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46],74.6
[ 1 10 14 17 18 20 21 22 29 33 39 41 44 45 46],74.6
[ 1 10 14 18 19 20 21 22 29 33 39 41 44 45 46],74.1
[ 1 10 14 18 20 21 22 23 29 33 39 41 44 45 46],74.4
[ 1 10 14 18 20 21 22 24 29 33 39 41 44 45 46],73.2
[ 1 10 14 18 20 21 22 25 29 33 39 41 44 45 46],73.1
[ 1 10 14 18 20 21 22 26 29 33 39 41 44 45 46],72.6
[ 1 10 14 18 20 21 22 27 29 33 39 41 44 45 46],74.6
[ 1 10 14 18 20 21 22 28 29 33 39 41 44 45 46],72.5
[ 1 10 14 18 20 21 22 29 30 33 39 41 44 45 46],73.0
[ 1 10 14 18 20 21 22 29 31 33 39 41 44 45 46],74.2
[ 1 10 14 18 20 21 22 29 32 33 39 41 44 45 46],71.7
[ 1 10 14 18 20 21 22 29 33 34 39 41 44 45 46],73.7
[ 1 10 14 18 20 21 22 29 33 35 39 41 44 45 46],73.4
[ 1 10 14 18 20 21 22 29 33 36 39 41 44 45 46],72.3
[ 1 10 14 18 20 21 22 29 33 37 39 41 44 45 46],74.4
[ 1 10 14 18 20 21 22 29 33 38 39 41 44 45 46],73.8
[ 1 10 14 18 20 21 22 29 33 39 40 41 44 45 46],71.9
